Industry Name,Company Name,Address 1,City,State,Zip,Country,Phone,Lat,Lon
Locations: Chain Supermarkets,Albertsons - Sav-on,3500 Panama Ln,BAKERSFIELD,CA,93313-3587,United States of America,(661) 827-8047,35.29664500,-119.04052600
Locations: Chain Supermarkets,Albertsons - Sav-on,13045 Rosedale Hwy,BAKERSFIELD,CA,93314-9496,United States of America,(661) 587-0153,35.38243300,-119.14639300
Locations: Chain Supermarkets,Albertsons,1301 N Norma St,RIDGECREST,CA,93555-2508,United States of America,(760) 446-2544,35.64384454,-117.67892874
Locations: Chain Supermarkets,Albertsons - Sav-on,927 S China Lake Blvd,RIDGECREST,CA,93555-6315,United States of America,(760) 375-1729,35.60552900,-117.67437700
Locations: Chain Supermarkets,Albertsons,2547 W Rosamond Blvd,ROSAMOND,CA,93560-6266,United States of America,(661) 256-6390,34.86447100,-118.17773200
Locations: Chain Supermarkets,Albertsons - Sav-on,775 Tucker Rd,TEHACHAPI,CA,93561-2502,United States of America,(661) 823-0213,35.12534000,-118.46910100
Locations: Chain Supermarkets,Cope's Foodfair,600 Norris Rd,BAKERSFIELD,CA,93308-3201,United States of America,(661) 399-9574,35.42002200,-119.03199400
Locations: Chain Supermarkets,Fiesta Latina Market,2211 E California Ave,BAKERSFIELD,CA,93307-2004,United States of America,(661) 325-3357,35.36824600,-118.96723000
Locations: Chain Supermarkets,Fiesta Latina Market,300 S Shafter Ave,SHAFTER,CA,93263-2638,United States of America,(661) 746-3923,35.49786900,-119.27797500
Locations: Chain Supermarkets,Fiesta Latina Market,1220 7th St,WASCO,CA,93280-1802,United States of America,(661) 758-5742,35.59460900,-119.33964400
Locations: Chain Supermarkets,Vons,2401 N Chester Ave,BAKERSFIELD,CA,93308-1715,United States of America,(661) 399-4301,35.42778600,-119.02271100
Locations: Chain Supermarkets,Vons,5360 Olive Dr,BAKERSFIELD,CA,93308-2920,United States of America,(661) 399-6967,35.41310300,-119.06075300
Locations: Chain Supermarkets,Vons,4500 Coffee Rd,BAKERSFIELD,CA,93308-5025,United States of America,(661) 589-0316,35.40050600,-119.09086600
Locations: Chain Supermarkets,Vons,5700 Stockdale Hwy,BAKERSFIELD,CA,93309-2507,United States of America,(661) 328-6950,35.35503900,-119.06500600
Locations: Chain Supermarkets,Vons,3400 Stine Rd,BAKERSFIELD,CA,93309-6341,United States of America,(661) 835-0212,35.32399100,-119.05559200
Locations: Chain Supermarkets,Vons,9000 Ming Ave Ste C,BAKERSFIELD,CA,93311-1319,United States of America,(661) 663-0595,35.33997712,-119.10213869
Locations: Chain Supermarkets,Vons,5610 Lake Isabella Blvd,LAKE ISABELLA,CA,93240,United States of America,(760) 379-4461,35.61874680,-118.47694114
Locations: Chain Supermarkets,Winco Foods,6801 Panama Ln,BAKERSFIELD,CA,93313,United States of America,(661) 473-2038,35.29593286,-119.07679807
Locations: Chain Supermarkets,WinCo Foods,4200 Coffee Rd,BAKERSFIELD,CA,93308-5064,United States of America,(661) 213-3726,35.39734100,-119.09074500
Locations: Department Stores,Kohl's,1200 US Highway 22,PHILLIPSBURG,NJ,08865,United States of America,(908) 387-0953,40.68572301,-75.15157980
Locations: Department Stores,Kohl's,6900 Hamilton Blvd,TREXLERTOWN,PA,18087,United States of America,(610) 336-7451,40.55019700,-75.59143600
Locations: Department Stores,Kohl's,1875 State Route 57,HACKETTSTOWN,NJ,07840-3473,United States of America,(908) 684-1257,40.81854600,-74.84071200
Locations: Department Stores,Sears,1200 US Highway 22 Ste 100,PHILLIPSBURG,NJ,08865-4112,United States of America,(908) 859-9000,40.68572301,-75.15157980
Locations: Department Stores,Bon-Ton,1200 US Highway 22 Ste 400,PHILLIPSBURG,NJ,08865-4113,United States of America,(908) 454-8183,40.68572301,-75.15157980
Locations: Department Stores,Bon-Ton,2524 Schoenersville Rd,BETHLEHEM,PA,18017-3567,United States of America,(610) 865-8250,40.64536297,-75.40539770
Locations: Department Stores,Boscov's Dept. Store,121 Palmer Park Mall,EASTON,PA,18045-2759,United States of America,(610) 250-2772,40.67539976,-75.20794700
Locations: Department Stores,Bon-Ton,146 Palmer Park Mall,EASTON,PA,18045-2770,United States of America,(610) 250-2030,40.67507901,-75.20840564
Locations: Department Stores,Kohl's,3768 Easton Nazareth Hwy,EASTON,PA,18045-8340,United States of America,(610) 923-5171,40.71666300,-75.28262400
Locations: Department Stores,Kohl's,2010 Whitehall Mall,WHITEHALL,PA,18052-5183,United States of America,(610) 231-3600,40.63447870,-75.48523921
Locations: Department Stores,Sears,1259 Whitehall Mall,WHITEHALL,PA,18052-5197,United States of America,(610) 776-2200,40.63519900,-75.48325300
Locations: Department Stores,Boscov's Dept. Store,400 Lehigh Valley Mall,WHITEHALL,PA,18052-5727,United States of America,(610) 231-8000,40.62870876,-75.48221372
Locations: Department Stores,Macy's,300 Lehigh Valley Mall,WHITEHALL,PA,18052-5794,United States of America,(610) 264-8711,40.62934697,-75.48276855
Locations: Department Stores,JCPenney,500 Lehigh Valley Mall,WHITEHALL,PA,18052-5797,United States of America,(610) 264-5671,40.62796988,-75.48097220
Locations: Department Stores,Bon-Ton,6900 Hamilton Blvd Unit 150,TREXLERTOWN,PA,18087-9105,United States of America,(610) 398-5540,40.55145229,-75.59453597
Locations: Department Stores,Bon-Ton,3300 Lehigh St Spc 100,ALLENTOWN,PA,18103-6578,United States of America,(610) 791-1700,40.55562132,-75.48970143
